X,Y,fid,xobjectid,xloc_name,xst_ref_id,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,gc_status,gc_score,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8527245.34698825,4760643.67022509,29,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,843 E FORT AVE,BALTIMORE,MD,21230,434383.29490646,178226.0855774,SHOPPERS FOOD WAREHOUSE, , , , ,0, , , , , ,{6CC728E9-9C3C-4B72-AB7E-4404FE3622F0},http://www.shoppersfood.com/
-8523599.45167039,4766726.05645826,30,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,4001 ERDMAN AVE,BALTIMORE,MD,21213,437187.29580646,182933.4305774,SAVE-A-LOT, , , , ,0, , , , , ,{1B273F7E-016B-4391-A82F-E1C329745AF0},http://save-a-lot.com/
-8528932.86873632,4767106.80917483,31,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,2401 N CHARLES ST,BALTIMORE,MD,21218,433054.23890646,183208.7786774,SAFEWAY, , , , ,0, , , , , ,{E8D6E8B6-8C8F-440F-8E42-D37EC7315AFA},http://www.safeway.com/
-8535495.00419979,4769874.11325094,32,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,3601 W COLD SPRING LN,BALTIMORE,MD,21215,427963.11380646,185323.9469774,ALDI, , , , ,0, , , , , ,{2E822699-D541-4E98-9DAB-FA7D82179A68},http://aldi.us/
-8530447.62604511,4770013.53317688,33,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,711 W 40TH ST,BALTIMORE,MD,21211,431871.71040646,185446.3481774,MOMS ORGANIC MARKET, , , , ,0, , , , , ,{05C7BD24-0C4F-41FB-AFC3-D868197DE068},http://www.momsorganicmarket.com/
-8526599.86622747,4773173.17328646,34,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,5600 THE ALAMEDA,BALTIMORE,MD,21239,434840.83990646,187895.7799774,SHOPPERS FOOD WAREHOUSE, , , , ,0, , , , , ,{5CB948FD-78AD-48C5-9F25-CD6AACEDDE78},http://www.shoppersfood.com/
-8521547.16131282,4770167.20587394,35,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,4212 FRANKFORD AVE,BALTIMORE,MD,21206,438764.13643169,185595.81457507,ALDI, , , , ,0, , , , , ,{C0F41036-7F92-4122-BD61-BB4389D3982C},http://aldi.us/
-8524403.26143706,4767317.09911306,36,0, ,0, , ,0,1899/12/30 00:00:00+00,0,14, , , ,0, , ,2401 BELAIR RD,BALTIMORE,MD,21213,436562.46324537,183386.54409428,FOOD DEPOT, , , , ,0, , , , , ,{6498C765-E107-49A4-B81D-7991B160A258},http://www.fooddepotonline.com/
-8533039.42015793,4762286.92239926,37,0, ,0, , ,0,1899/12/30 00:00:00+00,0,14, , , ,0, , ,2495 FREDERICK AVE,BALTIMORE,MD,21223,429887.10143329,179476.33452442,FOOD DEPOT, , , , ,0, , , , , ,{3206998E-E41B-4E5C-8D90-8E6447AED62C},http://www.fooddepotonline.com/
-8527066.47979399,4760094.1907286,38,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,1801 WHETSTONE WAY,BALTIMORE,MD,21230,434523.80604748,177802.45582294,HARRIS TEETER, , , , ,0, , , , , ,{88A95846-71B4-4F91-B2DC-310B501FAA6F},http://www.harristeeter.com/
-8523158.19440831,4761103.92068793,39,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,3799 BOSTON ST,BALTIMORE,MD, ,437549.82407965,178595.87833185,HARRIS TEETER, , , , ,0, , , , , ,{DC285C2D-EFE5-442E-ABE1-9B18B45DABA3},http://www.harristeeter.com/
-8522937.86738389,4772348.38195544,40,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,2905 HAMILTON AVE,BALTIMORE,MD, ,437679.0595542,187272.81757513,HARVEST FARE, , , , ,0, , , , , ,{54D0C422-3183-4805-ACC8-F6748087B8A4},http://www.harvestfare.com/
-8532242.84418547,4757557.10338487,41,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,2159 W PATAPSCO AVE,BALTIMORE,MD, ,430518.62648333,175826.7873914,LA MART, , , , ,0, , , , , ,{6F11A170-13B3-49C8-81E4-2D95414DFF90},none
-8537730.52940331,4769072.4204601,42,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,4601 LIBERTY HEIGHTS AVE,BALTIMORE,MD, ,426233.83032637,184699.56880431,SHOPRITE, , , , ,0, , , , , ,{88D897B4-6C3D-4F45-B757-47E35DEA575E},http://www.shoprite.com/
-8528803.77694665,4763508.27276898,43,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,222 N CHARLES ST,BALTIMORE,MD, ,433165.93834711,180432.21149713,STREETS MARKET & CAFÉ, , , , ,0, , , , , ,{C51FE321-5FAF-470E-B7F7-7F8CEE39D496},http://streetsmarketcafe.com/
-8523151.61711522,4762724.37620227,44,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,3801 EASTERN AVE,BALTIMORE,MD, ,437548.95854544,179846.81639405,THE MARKET AT HIGHLANDTOWN, , , , ,0, , , , , ,{5FA0C39E-32F3-4264-8B15-986028A3F370},none
-8525057.08629609,4764537.53812363,45,0, ,0, , ,0,1899/12/30 00:00:00+00,0, , , , ,0, , ,2509 E MONUMENT AVE,BALTIMORE,MD,21205,476886.39887904,198205.37318032,SAVE-A-LOT, , , , ,0, , , , , ,{42AAEA7E-2146-4A5C-BF85-DC60792903BE},http://save-a-lot.com/
